,wine_id,seo_cleaned,alcohol
455,2497159,herdade-do-sobroso-rose,12.5
456,7318135,casal-das-freiras-arinto,12.5
457,4274989,a-d-wines-quinta-de-santa-teresa-monologo-avesso-p67,13.0
458,2328760,herdade-do-sobroso-branco-alentejo,13.0
459,1639805,quinta-santa-eufemia-fine-ruby-por,
460,1752612,quinta-do-estanho-fine-ruby-por,
461,1167128,casa-de-santar-dao-reserva-branco,13.5
462,75982,casa-ferreirinha-douro-vinha-grande-douro,13.5
463,8519231,taboadella-villae-tinto,13.5
464,1200518,pt-anselmo-mendes-muros-antigos-alvarinho,12.5
465,1200518,pt-anselmo-mendes-muros-antigos-alvarinho,12.5
466,11274208,quinta-do-popa-reserve,13.5
467,1180029,herdade-do-rocim-alentejano-tinto,14.0
468,1443588,quinta-do-ortigao-arinto-bical,13.0
469,1597392,jose-maria-da-fonseca-alambre-moscatel-de-setubal-peninsula-of-setubal,17.4
470,3753409,quinta-do-zambujeiro-monte-do-zambujeiro,14.5
471,4274989,a-d-wines-quinta-de-santa-teresa-monologo-avesso-p67,13.0
472,6583735,a-d-wines-quinta-de-santa-teresa-monologo-sauvignon-blanc-p704-minho,13.0
473,4274706,a-d-wines-quinta-de-santa-teresa-monologo-arinto-p24,13.0
474,1200518,pt-anselmo-mendes-muros-antigos-alvarinho,12.5
475,2024491,lua-cheia-saven-andreza-reserva-tinto,13.5
476,13305,ramos-pinto-duas-quintas-tinto,14.0
477,5563623,lua-cheia-saven-andreza-reserva-branco,13.0
478,76385,burmester-extra-dry-white-po,
479,9964124,fitapreta-fita-da-fitapreta-tinto,14.5
480,5427893,quinta-do-paral-alentejano-tinto,13.5
481,8519239,taboadella-villae-branco,0.0
482,1175699,soalheiro-alvarinho,12.8
483,1201076,pt-anselmo-mendes-contacto-alvarinho,13.0
484,9964124,fitapreta-fita-da-fitapreta-tinto,14.5
485,4709016,solar-das-boucas-alvarinho,0.0
486,8825140,montaria-escolha-do-ano-tinto,14.0
487,3985269,fafide-reserva-branco,13.0
488,1807909,fafide-reserva-tinto,14.0
489,75994,ferreira-tawny-port-por,
490,2153244,w-j-graham-s-fine-tawny-port-por,
491,1142285,w-j-graham-s-fine-ruby-po,
492,5105265,quinta-dos-murcas-minas,13.0
493,6547924,melgaco-qm-rose-nd41d,12.5
494,1571152,w-j-graham-s-fine-white-po,
495,6814881,bacalhoa-vinhos-de-portugal-catarina-tinto,13.5
496,2006749,quinta-da-lixa-pinho-real-branco,9.5
497,7692293,kranemann-tawny-por,
498,1596715,porto-cruz-white-po,
499,2437632,pegos-reserva-castelao,13.5
500,1809462,casal-das-freiras-colheita-tinto,13.5
501,4293546,terras-de-cartaxo-reserva,14.54
502,5461301,lavradores-de-feitoria-tres-bagos-reserva-tinto,14.0
503,4666871,quinta-do-gradil-chardonnay,12.5
504,1264382,taylor-s-porto-taylor-fladgate-select-reserve-po,
